time,open,high,low,close,volume 
2020-12-08 10:25:00,123.405,123.405,123.2306,123.27,459943
2020-12-08 10:24:00,123.48,123.5,123.38,123.4,221341
2020-12-08 10:23:00,123.46,123.48,123.34,123.465,371817
2020-12-08 10:22:00,123.58,123.5899,123.46,123.46,299850
2020-12-08 10:21:00,123.65,123.6524,123.52,123.58,292283
2020-12-08 10:20:00,123.68,123.755,123.63,123.65,186286
2020-12-08 10:19:00,123.77,123.79,123.62,123.685,217879
2020-12-08 10:18:00,123.7349,123.78,123.6138,123.77,274420
2020-12-08 10:17:00,123.83,123.8399,123.66,123.74,284405
2020-12-08 10:16:00,124.12,124.1257,123.82,123.8401,313250
2020-12-08 10:15:00,124.02,124.13,124.01,124.1205,217911
2020-12-08 10:14:00,123.95,124.05,123.94,124.01,203295
2020-12-08 10:13:00,124.05,124.14,123.95,123.96,287051
2020-12-08 10:12:00,124.165,124.22,124.05,124.055,354654
2020-12-08 10:11:00,123.985,124.17,123.94,124.165,430853
2020-12-08 10:10:00,123.89,123.99,123.83,123.99,254319
2020-12-08 10:09:00,123.9684,124.01,123.8704,123.8901,340778
2020-12-08 10:08:00,123.8014,123.98,123.76,123.965,296484
2020-12-08 10:07:00,123.82,123.8899,123.79,123.8,185013
2020-12-08 10:06:00,123.69,123.8468,123.64,123.82,232652
2020-12-08 10:05:00,123.555,123.69,123.55,123.6856,223133
2020-12-08 10:04:00,123.7408,123.77,123.54,123.56,292024
2020-12-08 10:03:00,123.7941,123.815,123.69,123.75,216932
2020-12-08 10:02:00,123.8501,123.8545,123.74,123.8,233382
2020-12-08 10:01:00,123.89,123.9,123.78,123.8599,275993
2020-12-08 10:00:00,123.675,123.9,123.675,123.89,280822
2020-12-08 09:59:00,123.67,123.76,123.64,123.67,192427
2020-12-08 09:58:00,123.5725,123.71,123.56,123.6798,175318
2020-12-08 09:57:00,123.66,123.665,123.54,123.57,170662
2020-12-08 09:56:00,123.6004,123.7,123.51,123.6675,278066
2020-12-08 09:55:00,123.7189,123.78,123.6,123.6015,266136
2020-12-08 09:54:00,123.78,123.84,123.7,123.71,274740
2020-12-08 09:53:00,123.7,123.85,123.61,123.785,334730
2020-12-08 09:52:00,123.5673,123.72,123.45,123.695,277805
2020-12-08 09:51:00,123.62,123.67,123.49,123.57,222986
2020-12-08 09:50:00,123.685,123.69,123.47,123.6399,556776
2020-12-08 09:49:00,123.765,123.83,123.67,123.68,331475
2020-12-08 09:48:00,123.895,123.9,123.695,123.77,299500
2020-12-08 09:47:00,124.02,124.09,123.82,123.89,283895
2020-12-08 09:46:00,124.03,124.18,123.94,124.025,406496
